"","Date","rf","inf","mktrf","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret"
"73",2008-07-31,0.0015,-0.00775069733412592,-0.0077,0.0275,0.0259,0.0549,-0.0081,-0.0294,0.0382
"74",2008-09-30,0.0015,-0.0177054770847255,-0.0924,-0.1087,-0.0709,-0.0713,-0.0963,-0.0978,-0.0456
"75",2008-10-31,8e-04,-0.00572358822066776,-0.1723,-0.2183,-0.1935,-0.2033,-0.1505,-0.171,-0.2254
"76",2008-12-31,0,0.00366153454157692,0.0174,0.0553,0.0407,0.0537,0.0222,0.0081,-3e-04
"77",2009-03-31,2e-04,0.00147149391892198,0.0895,0.0913,0.1019,0.1142,0.0808,0.0942,0.1099
"78",2009-04-30,1e-04,0.00799917379425596,0.1019,0.162,0.1657,0.1812,0.0734,0.1124,0.1627
"79",2009-06-30,1e-04,0.00334845337779299,0.0043,0.0523,0.01,0.0153,0.0148,-0.0199,0.003
"80",2009-07-31,1e-04,0.00193088723340051,0.0772,0.0675,0.1024,0.1446,0.0679,0.0852,0.0866
"81",2009-08-31,1e-04,0.00300193179870378,0.0333,0.0101,0.0296,0.0918,0.0192,0.0391,0.0888
"82",2009-09-30,1e-04,0.0038705088472073,0.0408,0.0682,0.057,0.0785,0.0358,0.0403,0.0533
"83",2009-11-30,0,0.000547511582860594,0.0556,0.0173,0.02,0.0432,0.0671,0.0489,0.0447
"84",2009-12-31,1e-04,-0.000413857798460482,0.0275,0.0846,0.0828,0.0856,0.0193,0.0275,0.0327
"85",2010-03-31,1e-04,-0.000354224937435532,0.0631,0.0734,0.0812,0.0904,0.0539,0.0658,0.0779
"86",2010-04-30,1e-04,0.00173953860809295,0.02,0.0457,0.0632,0.0941,0.009,0.0216,0.0245
"87",2010-06-30,1e-04,0.00277475341905675,-0.0556,-0.0606,-0.0771,-0.1092,-0.0472,-0.0518,-0.0843
"88",2010-08-31,1e-04,0.00340386932440295,-0.0477,-0.0703,-0.0793,-0.0833,-0.0414,-0.0445,-0.0564
"89",2010-09-30,1e-04,0.00645134779750167,0.0954,0.1396,0.1267,0.1104,0.1006,0.0877,0.0727
"90",2010-11-30,1e-04,0.00292600606976134,0.006,0.0314,0.0435,0.035,0.0059,0.0033,-0.0094
"91",2010-12-31,1e-04,0.0033200351000986,0.0682,0.0736,0.0804,0.0953,0.0494,0.0815,0.095
"92",2011-01-31,1e-04,0.00513488657265482,0.0199,-0.0042,-4e-04,0.0038,0.0189,0.0285,0.0249
"93",2011-02-28,1e-04,0.0049382162319751,0.0349,0.049,0.0516,0.061,0.0257,0.0409,0.0481
"94",2011-03-31,1e-04,0.00416860070696612,0.0045,0.0314,0.026,0.0236,8e-04,0.0136,-0.0145
"95",2011-05-31,0,0.00250233343704154,-0.0127,-0.012,-0.0226,-0.0327,-0.0054,-0.0166,-0.026
"96",2011-06-30,0,0.00497000704934103,-0.0175,-0.0168,-0.0195,-0.019,-0.0148,-0.0194,-0.0174
"97",2011-08-31,1e-04,0.000383811111993371,-0.0599,-0.0906,-0.0923,-0.0966,-0.0422,-0.0707,-0.0676
"98",2011-09-30,0,0.00165372352388649,-0.0759,-0.1113,-0.114,-0.1112,-0.0642,-0.0765,-0.0842
"99",2011-10-31,0,-0.000189313891236997,0.1135,0.1554,0.1587,0.1298,0.1021,0.1248,0.1092
"100",2011-11-30,0,0.00460163897610233,-0.0028,-0.0143,-0.0037,-7e-04,-0.0015,0.009,-0.0184
"101",2012-01-31,0,0.00260368724193238,0.0505,0.0799,0.0699,0.0598,0.0606,0.0356,0.0374
"102",2012-02-29,0,0.00066453316545112,0.0442,0.0357,0.0239,0.0286,0.0453,0.0389,0.0532
"103",2012-04-30,0,-0.000257772496111586,-0.0085,-0.0127,-0.0208,-0.0097,-0.0057,-0.0067,-0.0122
"104",2012-05-31,1e-04,0.00492516114934993,-0.0619,-0.066,-0.0647,-0.0579,-0.0588,-0.0616,-0.0646
"105",2012-07-31,0,0.00493146395769561,0.0079,-0.0299,-0.0106,-0.0145,0.0128,0.0124,-0.0023
"106",2012-08-31,1e-04,0.000450048899543809,0.0255,0.0329,0.034,0.0351,0.027,0.0177,0.0358
"107",2012-10-31,1e-04,-0.00039361564081497,-0.0176,-0.0381,-0.0129,-0.0044,-0.0287,-0.0151,0.0203
"108",2012-11-30,1e-04,0.000960627263640212,0.0078,0.0074,0.0084,0.0107,0.0159,0,-0.0093
"109",2012-12-31,1e-04,0.00552479022656827,0.0118,0.0255,0.0377,0.0422,-0.0015,0.0115,0.0467
"110",2013-01-31,0,-0.00225280418230522,0.0557,0.0663,0.0608,0.0647,0.0465,0.0569,0.0742
"111",2013-02-28,0,0.000211138640525688,0.0129,0.011,0.0058,0.0139,0.0117,0.016,0.0146
"112",2013-04-30,0,0.00317071909841293,0.0156,-0.0089,-0.0057,-0.0036,0.0181,0.0147,0.021
"113",2013-05-31,0,0.00246070600360726,0.028,0.0525,0.0536,0.047,0.0214,0.0197,0.0534
"114",2013-07-31,0,0.00149507567481888,0.0565,0.0739,0.0704,0.0802,0.0554,0.0493,0.0638
"115",2013-09-30,0,0.00107364981050706,0.0377,0.0649,0.0667,0.0503,0.042,0.0295,0.0249
"116",2013-10-31,0,0.00384561151632457,0.0418,0.0113,0.032,0.0389,0.0448,0.0415,0.0431
"117",2013-12-31,0,0.00100454172040543,0.0281,0.0172,0.0276,0.0195,0.0242,0.0341,0.019
"118",2014-01-31,0,0.00200281499687449,-0.0332,-0.0035,-0.0408,-0.0359,-0.0324,-0.0358,-0.0372
"119",2014-02-28,0,0.00260566966559161,0.0465,0.0407,0.0513,0.0477,0.0502,0.0464,0.0336
"120",2014-03-31,0,0.00350893529845009,0.0043,-0.0319,0.012,0.0108,-0.0096,0.0143,0.041
"121",2014-04-30,0,0.00348401192831194,-0.0019,-0.0631,-0.0309,-0.025,0.0023,0.0087,-0.0043
"122",2014-06-30,0,-0.00202178143744036,0.0261,0.0742,0.0462,0.0452,0.0178,0.0245,0.0337
"123",2014-07-31,0,NA,-0.0204,-0.0623,-0.06,-0.0569,-0.0166,-0.0125,-0.0218
